class,precision,recall,f1-score,accuracy,support,samples_per_class,fold,model
NK,0.5834482758620689,0.5762942779291553,0.5798492117888965,0.9573505879078829,1468.0,50,3,MAPS
Neutrophil,0.4113821138211382,0.7354651162790697,0.5276329509906152,0.968482571488207,688.0,50,3,MAPS
Other,0.4909539473684211,0.584720861900098,0.5337505587840858,0.9637166910178807,1021.0,50,3,MAPS
Treg,0.3082579185520362,0.812220566318927,0.4469044690446905,0.9530717317191957,671.0,50,3,MAPS
Tumor,0.7386934673366834,0.8008474576271186,0.7685158292187045,0.972274403395255,1652.0,50,3,MAPS
overall,0.5425934759924537,0.636360916193708,0.5660127871257215,0.5531204341473597,,50,3,MAPS
B,0.7394288852278967,0.8311728395061728,0.7826213310084278,0.9479579767619842,3240.0,500,4,MAPS
CD4 T,0.8594622019279553,0.6779615795090715,0.7579983593109105,0.8871147290057747,7496.0,500,4,MAPS
CD8 T,0.9419928825622775,0.753272623790552,0.8371283997469956,0.9641689278508314,3514.0,500,4,MAPS
DC,0.6538461538461539,0.7586922677737415,0.7023780927215949,0.9568983510749322,1927.0,500,4,MAPS
Endothelial,0.8766467065868263,0.8408960367604825,0.8583992963940192,0.9831976622834482,1741.0,500,4,MAPS
Epithelial,0.6822107081174439,0.8777777777777778,0.7677356656948494,0.9916857997634454,450.0,500,4,MAPS
Lymphatic,0.8493827160493828,0.9124668435013262,0.8797953964194373,0.9934599596465595,754.0,500,4,MAPS
M1,0.4745254745254745,0.7661290322580645,0.5860579888957433,0.9766576219300076,620.0,500,4,MAPS
M2,0.7559739319333816,0.7165408373369938,0.7357293868921776,0.9739094134836151,1457.0,500,4,MAPS
Mast,0.8526603001364257,0.9398496240601504,0.894134477825465,0.9948514575941001,665.0,500,4,MAPS
Monocyte,0.640555906506633,0.7337192474674384,0.6839797639123103,0.9674041605788631,1382.0,500,4,MAPS
NK,0.848531684698609,0.7479564032697548,0.7950760318609703,0.9803103040423016,1468.0,500,4,MAPS
Neutrophil,0.6504424778761062,0.8546511627906976,0.7386934673366834,0.9855284213455785,688.0,500,4,MAPS
Other,0.5871621621621622,0.8511263467189031,0.694922031187525,0.9734571766506644,1021.0,500,4,MAPS
Treg,0.5277777777777778,0.7928464977645305,0.6337105419892793,0.9786057190565643,671.0,500,4,MAPS
Tumor,0.8807285546415982,0.9073849878934624,0.8938580799045915,0.9876156682668893,1652.0,500,4,MAPS
overall,0.7388330327860065,0.810152756761195,0.7651386444438113,0.7714116746677798,,500,4,MAPS
B,0.8165108029667849,0.7814814814814814,0.7986122062766126,0.9555764280247686,3240.0,500,3,MAPS
CD4 T,0.8776953596687942,0.6787620064034151,0.7655156849469644,0.8915675224379044,7496.0,500,3,MAPS
CD8 T,0.8790534618755478,0.8562891291974958,0.8675219835663832,0.9680303346552563,3514.0,500,3,MAPS
DC,0.674373795761079,0.7265179034769071,0.6994753934549088,0.9581506992277187,1927.0,500,3,MAPS
Endothelial,0.8964019851116626,0.8299827685238369,0.8619147032508202,0.9838934112572184,1741.0,500,3,MAPS
Epithelial,0.5578231292517006,0.9111111111111111,0.6919831223628691,0.9873025812286926,450.0,500,3,MAPS
Lymphatic,0.7988505747126436,0.9217506631299734,0.855911330049261,0.9918597370068879,754.0,500,3,MAPS
