ligand,receptor,median_responder,median_nonresponder,difference
FN1,ITGA5_ITGB1,68.64583333333334,73.19587628865979,-4.550042955
THBS1,ITGA3_ITGB1,61.4484127,66.92111959287531,-5.472706894
THBS2,ITGA3_ITGB1,61.80555555555556,66.95652173913044,-5.150966184
COL1A1,ITGA3_ITGB1,62.37025147137506,62.99212598425197,-0.621874513
COL1A2,ITGA3_ITGB1,64.66512702078522,65.51724137931035,-0.852114359
COL4A1,ITGA3_ITGB1,66.40580506061346,73.93939393939394,-7.533588879
COL4A2,ITGA3_ITGB1,66.74856674856674,69.85645933014354,-3.107892582
COL4A5,ITGA3_ITGB1,61.96506318360413,58.02469136,3.940371825579433
COL6A1,ITGA3_ITGB1,65,69.78417266,-4.784172662
COL6A2,ITGA3_ITGB1,62.663151711391606,68.25842696629213,-5.595275255
COL6A3,ITGA3_ITGB1,62.89811533316122,69.30065359477125,-6.402538262
COL9A1,ITGA3_ITGB1,64.36227951153325,53.98391812865496,10.378361382878282
COL9A2,ITGA3_ITGB1,61.111111111111114,65.25589983266978,-4.144788722
COL9A3,ITGA3_ITGB1,64.89695340501792,58.333333333333336,6.563620071684589
COL1A1,ITGA9_ITGB1,60.178069823434996,66.41721234798878,-6.239142525
COL1A2,ITGA9_ITGB1,63.76944190301921,66.18635926993277,-2.416917367
COL4A1,ITGA9_ITGB1,64.12957074721781,71.51515151515152,-7.385580768
COL4A2,ITGA9_ITGB1,65.82528735632184,70.79646017699115,-4.971172821
COL4A5,ITGA9_ITGB1,60.03364049,60.65573770491803,-0.622097219
COL6A1,ITGA9_ITGB1,61.06870229007634,69.96587030716724,-8.897168017
COL6A2,ITGA9_ITGB1,61.49306472362825,70.25723473,-8.764170003
COL6A3,ITGA9_ITGB1,60.228758169934636,71.6478979,-11.41913973
COL9A1,ITGA9_ITGB1,62.343283582089555,59.123731459797035,3.2195521222925194
COL9A2,ITGA9_ITGB1,61.261261261261254,68.38490644275126,-7.123645181
COL9A3,ITGA9_ITGB1,64.93410852713178,63.030303030303024,1.9038054968287597
FN1,ITGAV_ITGB1,75.79595302,76.816609,-1.020655975
VTN,ITGAV_ITGB1,79.75848188614145,77.71580164614653,2.0426802399949224
VTN,ITGAV_ITGB5,73.52579852579854,71.68464730290457,1.841151223
FN1,ITGAV_ITGB6,56.85571687840291,56.00000000000001,0.8557168784029017
VTN,ITGAV_ITGB8,71.58135063686613,67.75956284153006,3.8217877953360784
FN1,ITGAV_ITGB8,68.15727072961799,62.40458015267175,5.752690576946243
COL1A1,ITGAV_ITGB8,65.23737826062502,61.040235525024535,4.197142735600487
COL1A2,ITGAV_ITGB8,67.96699174793699,61.61187699,6.355114759601889
COL4A1,ITGAV_ITGB8,66.58406920165795,67.34006734006735,-0.755998138
COL4A2,ITGAV_ITGB8,67.80499137129962,66.10738255033557,1.6976088209640494
COL4A5,ITGAV_ITGB8,78.25619834710744,77.63157894736842,0.6246193997390179
COL6A1,ITGAV_ITGB8,69.71916971916971,63.095238095238095,6.623931623931618
COL6A2,ITGAV_ITGB8,68.50182181067095,63.22033898305085,5.281482827620096
COL6A3,ITGAV_ITGB8,67.91277258566979,64.45666459154735,3.4561079941224335
COL9A1,ITGAV_ITGB8,77.28262261493148,74.16291854072963,3.1197040742018487
COL9A2,ITGAV_ITGB8,67.81609195402298,60.42918907518718,7.386902878835798
COL9A3,ITGAV_ITGB8,71.08262108262107,69.56521739130434,1.517403691
FN1,CD44,37.21480582524272,37.89473684210527,-0.679931017
COL1A1,CD44,36.20400760376117,38.87240356083086,-2.668395957
COL1A2,CD44,36.84210526315789,38.333333333333336,-1.49122807
COL4A1,CD44,36.44650687811618,36.11111111111111,0.3353957670050747
COL4A2,CD44,38.35048201705598,36,2.350482017055981
COL4A5,CD44,49.38734683670918,39.86486486486486,9.522481971844314
COL6A1,CD44,39.77272727272727,37.96296296296296,1.8097643097643115
COL6A2,CD44,38.03903890856162,37.16216216216216,0.8768767463994607
COL6A3,CD44,40.927820403523725,37.66116941529235,3.266650988231376
COL9A1,CD44,51.271186440677965,41.55681104833647,9.714375392341495
COL9A2,CD44,37.42690058479532,42.726631967035345,-5.299731382
COL9A3,CD44,46.706454465075154,43.455497382198956,3.250957082876198
